mdpackage.filters...1...,mdpackage.scores...1...,V3
53,0.044755320128623,PF3D7_0106500
4734,0.0448396873339713,PF3D7_1435900
3898,0.0450203007163018,PF3D7_1318500
2523,0.0453610311743922,PF3D7_1016900
1379,0.0454631308465995,PF3D7_0629800
5120,0.0456368158351328,PF3D7_1475300
4158,0.0461361726534188,PF3D7_1346000
2830,0.0456437475916815,PF3D7_1110000
174,0.0462564116689456,PF3D7_0205300
2546,0.0489626064494048,PF3D7_1019300
5125,0.0487282346899827,PF3D7_1475800
1238,0.0487702717998746,PF3D7_0615100
374,0.0488635924893454,PF3D7_0304800
4114,0.0485264229689715,PF3D7_1341600
3210,0.0486423843246111,PF3D7_1200400
2657,0.0488539672137466,PF3D7_1030900
4988,0.0497299946053281,PF3D7_1461800
3276,0.0504452968039765,PF3D7_1207300
3699,0.04985520271267,PF3D7_1252600
2254,0.0504494319648525,PF3D7_0926600
2200,0.0501375347327174,PF3D7_0921100
473,0.0504698207271373,PF3D7_0315500
620,0.0509854353554123,PF3D7_0407000
4527,0.0525780060509466,PF3D7_1413100
436,0.052012609346388,PF3D7_0311400
2896,0.0528841627876125,PF3D7_1116900
1287,0.053423354741708,PF3D7_0620200
1776,0.0531824143565237,PF3D7_0809700
1140,0.0526577006499055,PF3D7_0605200
3941,0.0533041573961409,PF3D7_1322900
3778,0.0538564617801736,PF3D7_1306500
3586,0.0540951568531063,PF3D7_1240300
1506,0.0526245988409403,PF3D7_0712600
3998,0.0541575794942195,PF3D7_1328600
4854,0.0532261036949972,PF3D7_1448200
3500,0.0536373526509305,PF3D7_1231300
4848,0.0538602932247761,PF3D7_1447600
4435,0.056197528344465,PF3D7_1403400
1590,0.0560541999514265,PF3D7_0721700
2118,0.0554616828354618,PF3D7_0912700
756,0.0551824718307006,PF3D7_0422300
3609,0.056479463514507,PF3D7_1243000
3528,0.0566551441290198,PF3D7_1234400
4536,0.0568246718010323,PF3D7_1414000
1912,0.0577869085271597,PF3D7_0823400
1699,0.0581037929147427,PF3D7_0801400
1843,0.0576287602226344,PF3D7_0816500
2241,0.0580120257688626,PF3D7_0925300
826,0.0577541658537317,PF3D7_0504300
3011,0.0597033804539143,PF3D7_1128600
1291,0.0601336231622743,PF3D7_0620600
84,0.0614872682701812,PF3D7_0110000
1930,0.0634070616406683,PF3D7_0825200
2526,0.0653847905209179,PF3D7_1017200
4684,0.0673952115386284,PF3D7_1430800
4128,0.0667925113446899,PF3D7_1343000
2722,0.0657842875344846,PF3D7_1037800
4093,0.0668719974378013,PF3D7_1339000
4116,0.0699705824491766,PF3D7_1341800
1003,0.0689623846511057,PF3D7_0522400
3965,0.0692034914888661,PF3D7_1325300
1203,0.0707844525497389,PF3D7_0611500
1282,0.0694725299713833,PF3D7_0619700
2759,0.0678464716202662,PF3D7_1101600
3268,0.0746879326594626,PF3D7_1206500
2604,0.0710377823175584,PF3D7_1025200
3272,0.0720304938849106,PF3D7_1206900
4687,0.0739719582082374,PF3D7_1431100
4312,0.0746934329256331,PF3D7_1362100
440,0.0716490209773937,PF3D7_0311800
4708,0.0725312497636046,PF3D7_1433200
910,0.073687206207194,PF3D7_0513000
3144,0.0716969778545156,PF3D7_1143000
1325,0.0772772701135757,PF3D7_0624300
4578,0.074911287730829,PF3D7_1418300
4151,0.0737365902611128,PF3D7_1345300
4165,0.0837464148550228,PF3D7_1346700
945,0.0733189011170814,PF3D7_0516600
3861,0.079616960748379,PF3D7_1314800
2620,0.0778675337754609,PF3D7_1026900
4847,0.0752768900408276,PF3D7_1447500
5122,0.0821462308583614,PF3D7_1475500
957,0.0790085196837363,PF3D7_0517800
4119,0.0753111666842593,PF3D7_1342100
3331,0.0779363037448994,PF3D7_1213300
2084,0.0724089589754875,PF3D7_0909100
3363,0.099283181503194,PF3D7_1216500
596,0.079853661813041,PF3D7_0404500
76,0.0746618909594144,PF3D7_0109100
2736,0.0789283956818169,PF3D7_1040100
2914,0.0758915307029188,PF3D7_1118800
5111,0.0888245903339809,PF3D7_1474400
3587,0.0985139901503561,PF3D7_1240400
4922,0.127768181273703,PF3D7_1455000
333,0.115856695918294,PF3D7_0300400
684,0.135827330388305,PF3D7_0414500
3348,0.124747038781059,PF3D7_1215000
415,0.10507713913227,PF3D7_0309100
3677,0.0726178288159615,PF3D7_1250100
336,0.914041880849977,PF3D7_0300800
